"","name","injury","week","team","year"
"1","['Marshon Lattimore']","Out: Concussion","week_3","New Orleans Saints",2017
"2","['Coby Fleener']","Out: Concussion","week_13","New Orleans Saints",2017
"3","['Coby Fleener']","Injured Reserve: Concussion","week_14","New Orleans Saints",2017
"4","['Coby Fleener']","Injured Reserve: Concussion","week_15","New Orleans Saints",2017
"5","['Coby Fleener']","Injured Reserve: Concussion","week_16","New Orleans Saints",2017
"6","['Michael Hoomanawanui']","Out: Concussion","week_16","New Orleans Saints",2017
"7","['Coby Fleener']","Injured Reserve: Concussion","week_17","New Orleans Saints",2017
"8","['Michael Hoomanawanui']","Out: Concussion","week_17","New Orleans Saints",2017
"9","['Coby Fleener']","Injured Reserve: Concussion","week_18","New Orleans Saints",2017
"10","['Coby Fleener']","Injured Reserve: Concussion","week_19","New Orleans Saints",2017
